"Nazwa klienta","","Kolejnosc","Lat","Lng"
"Fado","1","3","52,7308605","15,2229463"
"Qubus","1","4","52,7307008","15,2285066"
"Apartament Bulwar","1","5","52,7299114","15,2390973"
"MCM","1","1","52,727857","15,2461344"
"HMB","3","1","",""
"Kręgielnia","4","5","",""
"Laguna","7","7","",""
"Maniszewo","2","7","",""
"BOK","4","1","",""
"Limba","4","4","",""
"Optyk","4","3","",""
"Stara Galeria","4","2","",""
"Magic Camping","7","4","",""
"Master","7","3","",""
"TKKF","5","6","",""
"F. Pszczew","5","12","",""
"H. Pszczew","5","13","",""
"Jaroszewskie","5","3","",""
"KAMA","5","4","",""
"Eldorado","5","5","",""
"Septic","2","10","",""
"Dudziak","2","9","52,3493706","14,6014339"
"Lusia","2","3","",""
"Slowiańska","2","5","",""
"Gmina Słońsk","2","6","",""
"Przystań Lubniewice","7","6","",""
"Eljan","3","7","",""
"Zagórze","3","5","",""
"Za Lasem","3","8","",""
"Słońce","5","9","",""
"Dom Łowyń","5","11","",""
"Modry Las","4","6","",""
"Bar u Anki","2","1","",""
"Sobieraj","2","2","",""
"Robert Rudoy","2","12","",""
"Długoszyn","7","5","",""
"Radisson","6","1","",""
"LAT Hotel","6","9999","",""
"LA Toscana","5","2","",""
"OKO","5","7","",""
"Kalinowe Pole","5","15","",""
"Ksiądz Łagów","5","16","",""
"Jemiołów","7","2","",""
"Dom Studenta","1","2","52,7418792","15,2435604"
"Relax","5","14","",""
"Kaiserhof","2","13","",""
"Amschloss","2","11","",""
"Lipy","4","9999","",""
"Amalia","5","1","",""
"Molex","2","16","",""
"The Knast","2","14","",""
"Rema","7","1","",""
"Stalmont","2","4","",""
"Kohl","2","8","",""
"Motel One","2","15","",""
"Punkt 10","5","8","",""
"Tamarynowa Osada","5","10","",""
"Strzelce","3","2","",""
"Długie","3","3","",""
"Dobiegniew","3","4","",""
"Gospodarstwo rolne","3","6","",""
